runId,전략,코인페어,타임프레임,전체시작일,전체종료일,학습기간종료일,테스트기간종료일,초기자금,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,총거래,승리거래,패배거래,평균수익(%),평균손실(%),생성일시
178,COMPOSITE_MOMENTUM_ICHIMOKU_V2,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,8.31,12.2,-23.84,0.1971,0.8532,0.097,41,,,,,2026-04-24 10:03:41
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,,1000000.00,W0_IN,8.44,16.67,-5.84,1.0808,4.5962,3.0962,12,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,2022-11-06 18:00:00,1000000.00,W0_OUT,-11.91,0.0,-11.91,-5.9699,-5.7443,-4.7216,9,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,,1000000.00,W1_IN,0.5,10.0,-7.93,0.1324,0.3814,0.1136,20,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,2023-09-12 22:00:00,1000000.00,W1_OUT,-2.45,0.0,-2.45,-3.6942,-3.649,-4.4271,3,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-16 23:00:00,,1000000.00,W2_IN,-2.16,12.5,-8.02,-0.1437,-0.276,-0.5481,16,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-16 23:00:00,2024-07-19 00:00:00,1000000.00,W2_OUT,1.45,9.09,-5.45,0.4711,1.6826,1.3721,11,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 23:00:00,,1000000.00,W3_IN,43.53,28.57,-4.92,2.6879,26.3653,35.3106,14,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 23:00:00,2025-05-25 00:00:00,1000000.00,W3_OUT,18.87,27.27,-8.08,1.579,11.3788,17.3459,11,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,,1000000.00,W4_IN,-4.03,13.33,-9.34,-0.6418,-1.4276,-1.0135,15,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,2026-03-30 23:00:00,1000000.00,W4_OUT,7.25,50.0,-0.58,2.9751,40.2941,201.34,2,,,,,2026-04-24 10:02:55
177,COMPOSITE_MOMENTUM_ICHIMOKU,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,13.2,13.89,-19.81,0.2639,1.2268,0.1827,36,,,,,2026-04-24 10:02:55
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,,1000000.00,W0_IN,6.65,13.33,-7.4,0.8708,3.4761,1.9058,15,,,,,2026-04-24 10:02:06
